Matrícula,S1
GRR20150448,68
GRR20127181,58
GRR20150462,NA
GRR20152216,70
GRR20130332,NA
GRR20155953,64
GRR20158258,68
GRR20152135,70
GRR20152136,64
GRR20130617,72
GRR20142396,70
GRR20159745,70
GRR20151123,62
GRR20153269,82
GRR20159353,68
GRR20151416,NA
GRR20140693,78
GRR20157699,46
GRR20131784,NA
GRR20131974,70
GRR20155544,NA
GRR20157763,NA
GRR20159000,56
GRR20153749,58
GRR20143304,76
GRR20120643,NA
GRR20132383,56
GRR20152534,NA
GRR20136086,68
GRR20159149,66
GRR20137564,96
GRR20153882,66
GRR20153909,72
GRR20153343,82
GRR20118368,58
GRR20148557,86
GRR20150939,72
GRR20151576,68
GRR20170432,66
GRR20158507,58
GRR20153205,70
GRR20147933,64
GRR20150853,NA
GRR20150854,88
GRR20158835,74
GRR20150982,62
GRR20143582,66
GRR20151663,54
GRR20133733,NA
GRR20143926,NA
GRR20150549,58
GRR20127189,74
GRR20150640,64
GRR20134354,NA
GRR20152287,NA
GRR20161408,NA
GRR20155116,NA
