Matrícula,S1,S2,S3
GRR20171890,NA,64,66
GRR20170059,NA,NA,NA
GRR20141751,NA,NA,NA
GRR20171140,66,28,64
GRR20163020,50,NA,46
GRR20174665,NA,NA,NA
GRR20175911,84,80,60
GRR20177440,68,36,88
GRR20175890,100,76,64
GRR20171169,NA,NA,NA
GRR20171882,84,74,70
GRR20131097,NA,NA,NA
GRR20171869,58,48,58
GRR20171871,NA,NA,NA
GRR20177433,74,64,82
GRR20176985,68,46,52
GRR20171867,62,56,44
GRR20176675,NA,64,NA
GRR20165521,82,NA,NA
GRR20171899,NA,NA,NA
GRR20172927,62,54,76
GRR20148177,NA,NA,NA
GRR20165401,NA,NA,NA
GRR20176690,60,70,46
GRR20156552,88,58,46
GRR20132081,NA,78,90
ISO20170037,NA,NA,NA
GRR20166598,82,80,86
GRR20163741,50,42,60
GRR20171900,50,50,80
GRR20157651,NA,NA,NA
GRR20170258,60,76,70
GRR20158885,NA,NA,NA
GRR20177015,52,66,62
GRR20163436,NA,NA,NA
GRR20176994,64,NA,NA
GRR20149018,NA,58,50
GRR20134206,NA,NA,NA
GRR20159677,NA,NA,NA
GRR20177487,66,54,66
GRR20163732,72,60,72
GRR20172904,52,56,68
GRR20176986,70,36,58
