Matrícula;S1;S2
GRR20152057;68;88
GRR20152082;38;68
GRR20158954;86;56
GRR20151704;;30
GRR20141513;63;78
GRR20155858;79;82
GRR20157882;73;52
GRR20151584;70;48
GRR20164380;;
GRR20158408;78;82
GRR20164551;;
GRR20152917;75;60
GRR20145231;68;66
GRR20137411;;46
GRR20140726;46;56
GRR20151260;72;30
GRR20151297;72;46
GRR20152670;54;40
GRR20152787;64;70
GRR20142738;;
GRR20142928;78;88
GRR20157822;65;74
GRR20142936;;
GRR20153767;35;58
GRR20113106;;
GRR20127314;52;
GRR20132857;66;42
GRR20141348;69;52
GRR20132932;;42
GRR20135918;85;74
GRR20174061;84;
GRR20146982;;88
GRR20154108;84;84
GRR20153807;41;16
GRR20143886;77;44
GRR20159607;48;58
GRR20159933;62;84
GRR20133825;72;34
GRR20144018;92;88
GRR20157747;29;36
GRR20140076;84;56
GRR20150593;64;44
GRR20144489;70;48
GRR20155146;61;
